INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\objects\07, Name=07, size=0, date=2017-11-30 14:05:54
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\objects\07\eb1cabcc635744ec9ba168c350f959aec331c9, Name=eb1cabcc635744ec9ba168c350f959aec331c9, size=131, date=2017-11-30 14:05:54
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\objects\13, Name=13, size=0, date=2017-11-23 14:36:56
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\objects\13\10d916429cc5ee0f7bda870e877b7875136ba8, Name=10d916429cc5ee0f7bda870e877b7875136ba8, size=89, date=2017-11-30 14:01:55
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\objects\17, Name=17, size=0, date=2017-11-30 13:51:57
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\objects\17\83fd57df856413b68d33739651c239ee4ef220, Name=83fd57df856413b68d33739651c239ee4ef220, size=160, date=2017-11-30 13:51:57
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\objects\30, Name=30, size=0, date=2017-11-23 16:37:16
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\objects\30\4d77d7752a0431bde9e1b41a22b59cd3cdc726, Name=4d77d7752a0431bde9e1b41a22b59cd3cdc726, size=163, date=2017-11-23 16:37:16
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\objects\3c, Name=3c, size=0, date=2017-11-30 14:05:44
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\objects\3c\5b2598ed17dc9d3f7eb7f5186b25fc334553cc, Name=5b2598ed17dc9d3f7eb7f5186b25fc334553cc, size=261, date=2017-11-30 14:05:44
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\objects\4f, Name=4f, size=0, date=2017-11-30 14:05:44
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\objects\4f\6fd40af5d908e2b30896338f44ea35f079f541, Name=6fd40af5d908e2b30896338f44ea35f079f541, size=1070, date=2017-11-30 14:05:44
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\objects\55, Name=55, size=0, date=2017-11-23 16:37:26
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\objects\55\35f3c2f538ba0ebb787109885010ccd9feced1, Name=35f3c2f538ba0ebb787109885010ccd9feced1, size=155, date=2017-11-23 16:38:31
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\objects\5d, Name=5d, size=0, date=2017-11-30 14:05:43
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\objects\5d\a27541cec7d7ea4ade7432bcde8f170efd63f3, Name=a27541cec7d7ea4ade7432bcde8f170efd63f3, size=243, date=2017-11-30 14:05:43
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\objects\62, Name=62, size=0, date=2017-11-23 14:24:59
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\objects\62\c893550adb53d3a8fc29a1584ff831cb829062, Name=c893550adb53d3a8fc29a1584ff831cb829062, size=21, date=2017-11-23 14:24:59
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\objects\68, Name=68, size=0, date=2017-11-30 14:05:54
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\objects\68\943d527a638a8d80c186484b9cc524041a470c, Name=943d527a638a8d80c186484b9cc524041a470c, size=268, date=2017-11-30 14:05:54
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\objects\6f, Name=6f, size=0, date=2017-11-30 14:05:43
INFO : Path=C:\Users\AdrienMartinez\Documents\M1\Python\Anonymous\.git\objects\6f\2a93a81085f845701fa3a209a7c5e158cba2b9, Name=2a93a81085f845701fa3a209a7c5e158cba2b9, size=135, date=2017-11-23 14:25:11
